                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9118,                  3.291,                  4.124,                0.00297,                0.83776,                0.00576,                0.00184,                 2.5399,                 3.8513,                 4.2257,             0.00065116,             0.00065116,             0.00065116
                      2,                 2.6872,                 2.4996,                 3.4104,                0.00441,                0.84808,                0.00932,                0.00287,                 2.6098,                  3.741,                 4.2367,              0.0012526,              0.0012526,              0.0012526
                      3,                 2.4939,                 2.0874,                 3.0201,                0.44496,                0.80088,                0.60618,                  0.313,                 1.6994,                 3.6177,                 2.5799,               0.001788,               0.001788,               0.001788
                      4,                 2.2505,                 1.8422,                 2.8146,                0.93274,                0.92773,                 0.9693,                0.45589,                 1.7117,                 1.4993,                 2.3671,               0.001703,               0.001703,               0.001703
                      5,                 2.0789,                 1.6578,                 2.6259,                0.86265,                 0.9449,                0.93312,                0.50531,                 1.6409,                 1.3988,                 2.2528,               0.001604,               0.001604,               0.001604
                      6,                 1.8458,                 1.5053,                 2.4245,                0.97533,                0.93279,                0.98293,                0.40709,                 1.7373,                 1.7373,                 2.3108,               0.001505,               0.001505,               0.001505
                      7,                 1.7355,                 1.3834,                 2.2963,                0.97785,                0.97685,                0.99335,                0.53528,                 1.4573,                  1.155,                 1.9995,               0.001406,               0.001406,               0.001406
                      8,                 1.6484,                 1.3009,                 2.2021,                0.94779,                0.96165,                 0.9836,                 0.4926,                 1.6552,                 1.1588,                 2.1246,               0.001307,               0.001307,               0.001307
                      9,                 1.6037,                  1.216,                 2.1151,                 0.9902,                0.98378,                0.99462,                0.61393,                 1.2485,                 1.3952,                 1.7626,               0.001208,               0.001208,               0.001208
                     10,                 1.5207,                 1.1225,                 2.0237,                0.98895,                 0.9823,                0.99363,                 0.6506,                 1.2011,                0.92262,                 1.7788,               0.001109,               0.001109,               0.001109
                     11,                 1.2327,                0.90737,                 1.7858,                0.99268,                0.99948,                0.99497,                0.64627,                 1.2588,                 0.7998,                 1.7839,                0.00101,                0.00101,                0.00101
                     12,                 1.2015,                0.84476,                 1.7753,                0.97194,                 0.9708,                0.99254,                0.62153,                 1.1996,                 1.1672,                 1.6831,               0.000911,               0.000911,               0.000911
                     13,                 1.1079,                0.73965,                 1.6792,                0.99679,                0.98968,                0.99494,                0.68492,                 1.1466,                0.72752,                 1.7022,               0.000812,               0.000812,               0.000812
                     14,                 1.0995,                0.68905,                 1.6669,                 0.9948,                      1,                0.99499,                0.69355,                  1.072,                0.65425,                 1.6096,               0.000713,               0.000713,               0.000713
                     15,                 1.0956,                0.65045,                 1.6521,                0.99372,                      1,                  0.995,                0.73044,                0.98378,                0.61952,                  1.521,               0.000614,               0.000614,               0.000614
                     16,                 1.0676,                0.62801,                 1.6145,                0.99928,                      1,                  0.995,                0.72175,                0.99453,                0.56732,                 1.5235,               0.000515,               0.000515,               0.000515
                     17,                 1.0473,                0.58755,                 1.5924,                0.99577,                      1,                  0.995,                0.71453,                 1.0112,                0.57683,                 1.5587,               0.000416,               0.000416,               0.000416
                     18,                 1.0434,                0.58253,                 1.5888,                 0.9994,                      1,                  0.995,                0.71263,                 1.0473,                0.54427,                 1.5585,               0.000317,               0.000317,               0.000317
                     19,                  1.003,                0.56352,                 1.5456,                0.99891,                      1,                  0.995,                0.73433,                0.96035,                0.52535,                 1.5119,               0.000218,               0.000218,               0.000218
                     20,                0.97361,                0.54886,                 1.5153,                0.99845,                      1,                  0.995,                 0.7428,                0.93941,                0.50659,                 1.4749,               0.000119,               0.000119,               0.000119
